annotator,title,comment_id,comment_text,context,stance_pro,stance_con,word_count
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg,"An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,"markus lanz, robert habeck",21
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WG577ZtN3,Weil Herr Lanz ein Regimetreuer Knecht ist.,"An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,markus lanz,7
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WG6-5fSDu,Zitat wurde aus dem Zusammenhang gerissen ?,"An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",robert habeck,,7
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WGxPTn6od,👏👏👏👏,"An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,"markus lanz, robert habeck",1
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WH3YhUXRv,"Klar, passt aber in die neue Strategie der AFD. Man will, dass der deutsche Michel glaubt, die ""etablierten"" Politier ""hassen"" das Land. Dafür erfinden die Fanboys mal kurz was oder reisen es aus dem Zusammenhang. @user","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,afd,36
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WH3kPAS0h,"@user Wurde es nicht, auch nicht die ganzen anderen Zitate von grünen Heuchlern, siehe Fischer.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,markus lanz,15
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WHCAQuaBI,"@user Dann erzähl mal wie man sowas in welchen Zusammenhang korrekt benutzt!? Stimmt, es gibt keine, ich wiederhole keine korrekte Nutzung für so eine bodenlos freche und antideutsche Aussage!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,,29
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WHOLO2Vwq,"@user alleine der Satz sagt Alles! Aber da du anscheinend den Rest kennst, erzähl mal🤔","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,15
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WHVC6nYx0,"@user du wirst durch Zufall in irgendeinem Land geboren und MUSST es lieben? Was ist das denn? Das hat nichts mit antideutsch zu tun, wenn man das Land, in dem man zufällig reingeboren wird, nicht liebt.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,vaterlandsliebe,36
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WHgn2Wufp,"@user Das Zitat stammt aus einem Buch mit mehreren hundert Seiten und wurde bereits auf der Seite, auf der es steht, erklärt, definiert und der Rest des Buches erklärt, was er damit sagen will.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",robert habeck,,34
